Assassin's Creed: Valhalla; 10/11/2020; 24.00;1200
Tom Clancy's Rainbow Six Siege; 1/12/2015; 8.57;720
Assassin's Creed: Odyssey; 1/10/2018; 10.68;6000
Assassin's Creed II; 17/11/2009; 9.99;900
For Honor; 15/09/2016; 14.54;600
Far Cary 6; 6/10/2021; 35.49;2400
Riders Republic; 23/08/2021; 25.00;240
Roller Champions; 25/05/2022;0;660
Steep; 2/12/2016; 8.99;780
Tom Clancy's The Division; 8/05/2016; 4.83;900
Assassin's Creed: Black Flag; 30/10/2012;6.15;3600
Assassin's Creed Origins; 27/10/2017;9.98;3000
Watch Dogs: Legion; 29/10/2020;14.90;2400
Far Cry 3; 29/11/2012;13.35;1800
Brawlhalla; 30/04/2014;0;3000
Brotherhood; 16/11/2010;14.90;600
Rayman Legends;29/08/2013;9.65;720
Far Cry 4;18/11/2014;9.98;2100
Watch Dogs;27/05/2014;9.99;2400
Child of Light;29/04/2014;20.34;660
Prince of Persia;03/10/1989;5.99;1320
Rayman;01/09/1995;9.65;720
Hungry Dragon;13/07/2005;5.99;600
Assassin's Creed: Unity;11/11/2014;9.99;900
FIFA 22;27/09/2021;14.99;2100